Product_Name, Pricing, Rating
APPLE iPhone 11 (White| 64 GB),Rs.46999,4.636124
APPLE iPhone 11 (Black| 64 GB),Rs.46999,4.636124
Apple iPhone XR (Black| 64 GB) (Includes EarPods| Power Adapter),Rs.38999,4.677494
APPLE iPhone 11 (Purple| 64 GB),Rs.46999,4.636124
APPLE iPhone 11 (Green| 64 GB),Rs.46999,4.636124
APPLE iPhone 11 (Black| 128 GB),Rs.53999,4.636124
Apple iPhone XR (Black| 128 GB) (Includes EarPods| Power Adapter),Rs.43999,4.677494
APPLE iPhone 11 (Red| 64 GB),Rs.46999,4.636124
Apple iPhone XR (White| 128 GB) (Includes EarPods| Power Adapter),Rs.43999,4.677494
Apple iPhone XR ((PRODUCT)RED| 128 GB) (Includes EarPods| Power Adapter),Rs.43999,4.677494
Apple iPhone XR (Coral| 128 GB) (Includes EarPods| Power Adapter),Rs.43999,4.677494
APPLE iPhone 11 (Red| 128 GB),Rs.53999,4.636124
Apple iPhone SE (Black| 256 GB) (Includes EarPods| Power Adapter),Rs.44999,4.593101
Apple iPhone SE (Red| 256 GB) (Includes EarPods| Power Adapter),Rs.44999,4.593101
APPLE iPhone 12 (Blue| 128 GB),Rs.84900,4.71884
APPLE iPhone SE (White| 64 GB),Rs.29999,4.593101
APPLE iPhone 12 (White| 64 GB),Rs.79900,4.71884
APPLE iPhone 11 Pro (Midnight Green| 64 GB),Rs.79999,4.66987
Apple iPhone 11 (Purple| 128 GB) (Includes EarPods| Power Adapter),Rs.53999,4.636124
Apple iPhone XR (White| 64 GB) (Includes EarPods| Power Adapter),Rs.38999,4.677494
APPLE iPhone 12 Pro Max (Pacific Blue| 512 GB),Rs.159900,4.6549
APPLE iPhone 12 (Black| 64 GB),Rs.79900,4.71884
Apple iPhone XR (Blue| 64 GB) (Includes EarPods| Power Adapter),Rs.38999,4.677494
APPLE iPhone 12 (White| 256 GB),Rs.94900,4.71884
